Halloween,
Halloween II,
Halloween III: Season of the Witch,
Halloween 4: The Return of Michael Myers,
Halloween 5: The Revenge of Michael Myers,
Halloween 6: The Curse of Michael Myers,
Halloween H20: 20 Years Later,
Halloween with the New Addams Family,
Hollywood Halloween,
Halloween,
The Last Halloween,
Farewell: Live from the Universal Amphitheatre Halloween 1995,
Halloweentown,
Halloween Is Grinch Night,
The Halloween Tree,
Halloween: Resurrection,
Halloween According to Old Weird Harold,
L'Halloween et le vieux Harold,
Halloween on Ice,
Halloweenie: Curse of the Psycho Chef,
